LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,TOOLTIP,SOURCE,SOURCE URL,2021,2022,2023,LEVEL
Education,Lexington Public Schools,Salaries & Wages,,,Salaries and wages for school employees. Benefits are paid from the Municipal Shared Expenses.,"FY23 Brown Book, III-4",http://www.lexingtonma.gov/budget,96807462,101247755,106450152,3
Education,Lexington Public Schools,Expenses,,,,"FY23 Brown Book, III-4",http://www.lexingtonma.gov/budget,17656852,19388790,21804295,3
Education,Lexington Public Schools Total,,,,Tax Levy funded portion of Lexington Public Schools budget.,"FY23 Brown Book, III-4",http://www.lexingtonma.gov/budget,114464314,120636545,128254447,2
Education,Minuteman Regional School,,,,,"FY23 Brown Book, III-8",http://www.lexingtonma.gov/budget,2863147,3130038,3223898,2
Education Total,,,,,,"FY23 Brown Book, I-3",http://www.lexingtonma.gov/budget,117327461,123766583,131478345,1
Municipal Departments,Public Works,Administration,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,660102,693469,738687,3
Municipal Departments,Public Works,Town Engineering,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,930378,1015497,1080193,3
Municipal Departments,Public Works,Street Lighting,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,123287,228200,203500,3
Municipal Departments,Public Works,Highway,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,1305787,1636717,1695756,3
Municipal Departments,Public Works,Equipment Maintenance,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,753403,840179,921051,3
Municipal Departments,Public Works,Snow Removal,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,1447960,1522967,1585694,3
Municipal Departments,Public Works,Parks,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,1418322,1436075,1545793,3
Municipal Departments,Public Works,Forestry,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,525200,552426,523391,3
Municipal Departments,Public Works,Cemetery,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,344843,393778,405624,3
Municipal Departments,Public Works,Refuse Collection,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,952423,980996,1010426,3
Municipal Departments,Public Works,Recycling,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,1265853,1478817,1468095,3
Municipal Departments,Public Works,Refuse Disposal,,,,"FY23 Brown Book, V-5",http://www.lexingtonma.gov/budget,767750,749022,789925,3
Municipal Departments,Public Works Total,,,,,"FY23 Brown Book, I-3",http://www.lexingtonma.gov/budget,10495308,11528143,11968145,2
Municipal Departments,Public Safety,Police Dept,Personel Services,Salaries and Wages,,"FY23 Brown Book, VI-6",http://www.lexingtonma.gov/budget,5754440,6172458,6142708,5
Municipal Departments,Public Safety,Police Dept,Personel Services,Overtime,,"FY23 Brown Book, VI-6",http://www.lexingtonma.gov/budget,1248553,942040,1022999,5
Municipal Departments,Public Safety,Police Dept,Personel Services Total,,,"FY23 Brown Book, VI-6",http://www.lexingtonma.gov/budget,7002993,7047347,7169307,4
Municipal Departments,Public Safety,Police Dept,Expenses,Contractual Services,,"FY23 Brown Book, VI-6",http://www.lexingtonma.gov/budget,287089,410742,419324,5
Municipal Departments,Public Safety,Police Dept,Expenses,Utilities,,"FY23 Brown Book, VI-6",http://www.lexingtonma.gov/budget,112457,128487,164747,5
Municipal Departments,Public Safety,Police Dept,Expenses,Supplies,,"FY23 Brown Book, VI-6",http://www.lexingtonma.gov/budget,264008,217281,219623,5
Municipal Departments,Public Safety,Police Dept,Expenses,Small Capital,,"FY23 Brown Book, VI-6",http://www.lexingtonma.gov/budget,270135,268639,292376,5
Municipal Departments,Public Safety,Police Dept,Expenses Total,,,"FY23 Brown Book, VI-6",http://www.lexingtonma.gov/budget,933689,1005548,1096070,4
Municipal Departments,Public Safety,Police Dept Total,,,,"FY23 Brown Book, I-4",http://www.lexingtonma.gov/budget,7936682,8052895,8265377,3
Municipal Departments,Public Safety,Fire Dept,Personal Services,Salaries and Wages,,"FY23 Brown Book, VI-10",http://www.lexingtonma.gov/budget,5878461,6075937,6133174,5
Municipal Departments,Public Safety,Fire Dept,Personal Services,Overtime,,"FY23 Brown Book, VI-10",http://www.lexingtonma.gov/budget,1108616,1171264,1136491,5
Municipal Departments,Public Safety,Fire Dept,Personal Services Total,,,"FY23 Brown Book, VI-10",http://www.lexingtonma.gov/budget,6987078,7367013,7269665,4
Municipal Departments,Public Safety,Fire Dept,Expenses,Contractual Services,,"FY23 Brown Book, VI-10",http://www.lexingtonma.gov/budget,292933,336304,351154,5
Municipal Departments,Public Safety,Fire Dept,Expenses,Utilities,,"FY23 Brown Book, VI-10",http://www.lexingtonma.gov/budget,44402,67890,80331,5
Municipal Departments,Public Safety,Fire Dept,Expenses,Supplies,,"FY23 Brown Book, VI-10",http://www.lexingtonma.gov/budget,180807,217415,218185,5
Municipal Departments,Public Safety,Fire Dept,Expenses,Small Capital,,"FY23 Brown Book, VI-10",http://www.lexingtonma.gov/budget,112549,100500,149133,5
Municipal Departments,Public Safety,Fire Dept,Expenses Total,,,"FY23 Brown Book, VI-10",http://www.lexingtonma.gov/budget,630691,632642,798803,4
Municipal Departments,Public Safety,Fire Dept Total,,,,"FY23 Brown Book, I-5",http://www.lexingtonma.gov/budget,7617769,7999655,8068468,3
Municipal Departments,Public Safety Total,,,,,"FY23 Brown Book, I-3",http://www.lexingtonma.gov/budget,15554451,16052550,16333845,2
Municipal Departments,Culture & Recreation,Library Personal Services,,,,"FY23 Brown Book, VII-5",http://www.lexingtonma.gov/budget,2161069,2525607,2637708,3
Municipal Departments,Culture & Recreation,Library Expenses,,,,"FY23 Brown Book, VII-10",http://www.lexingtonma.gov/budget,563057,630741,698511,3
Municipal Departments,Culture & Recreation Total,,,,,"FY23 Brown Book, I-3",http://www.lexingtonma.gov/budget,2725127,3019439,3336219,2
Municipal Departments,Human Services,,,,,"FY23 Brown Book, I-3",http://www.lexingtonma.gov/budget,1293475,1277465,1527421,2
Municipal Departments,"Land Use, Health And Development Deparment",,,,,"FY23 Brown Book, I-3",http://www.lexingtonma.gov/budget,2244758,2693989,2792613,2
Municipal Departments,General Government,Board of Selectmen,,,"The Board of Selectmen, together with the Town Manager, represents the executive branch of the Town government. The Board consists of five members, elected for three-year terms. Selectmen serve without compensation. The Board acts as the Town's primary policy making body for a wide variety of issues affecting service delivery, finance and Town infrastructure. They provide oversight in matters of litigation, act as the licensing authority, enact rules and regulations regarding traffic control and are responsible for calling Town Meetings and approving the Town Meeting Warrant.","FY23 Brown Book, X-5",http://www.lexingtonma.gov/budget,1213197,1259808,1298802,3
